,Value,Date,State
564,30.2,2021/06/21,IN
565,25.9,2021/06/21,KS
566,33.2,2021/06/21,KY
567,36.3,2021/06/21,LA
568,27.1,2021/06/21,MA
569,31.1,2021/06/21,MD
570,28.6,2021/06/21,ME
571,27.2,2021/06/21,MI
572,25.9,2021/06/21,MN
573,31.9,2021/06/21,MO
574,39.2,2021/06/21,MS
575,26.7,2021/06/21,MT
576,25.7,2021/06/21,NC
577,26.5,2021/06/21,ND
578,25.4,2021/06/21,NE
579,21.0,2021/06/21,NH
580,31.0,2021/06/21,NJ
581,35.7,2021/06/21,NM
582,33.9,2021/06/21,NV
583,30.5,2021/06/21,NY
584,28.4,2021/06/21,OH
585,38.6,2021/06/21,OK
586,29.0,2021/06/21,OR
587,28.0,2021/06/21,PA
588,31.3,2021/06/21,RI
589,30.0,2021/06/21,SC
590,23.5,2021/06/21,SD
591,31.3,2021/06/21,TN
592,31.7,2021/06/21,TX
593,29.8,2021/06/21,UT
594,28.3,2021/06/21,VA
595,23.0,2021/06/21,VT
596,29.0,2021/06/21,WA
597,22.4,2021/06/21,WI
598,37.2,2021/06/21,WV
599,26.1,2021/06/21,WY
600,27.4,2021/07/05,AK
601,35.9,2021/07/05,AL
602,26.4,2021/07/05,AR
603,33.4,2021/07/05,AZ
604,30.3,2021/07/05,CA
605,27.9,2021/07/05,CO
606,26.8,2021/07/05,CT
607,25.8,2021/07/05,DE
608,26.6,2021/07/05,FL
609,30.5,2021/07/05,GA
610,32.9,2021/07/05,HI
611,25.3,2021/07/05,IA
612,28.9,2021/07/05,ID
613,24.0,2021/07/05,IL
614,28.8,2021/07/05,IN
615,27.5,2021/07/05,KS
616,34.3,2021/07/05,KY
617,29.8,2021/07/05,LA
618,26.5,2021/07/05,MA
619,30.4,2021/07/05,MD
620,23.7,2021/07/05,ME
621,29.0,2021/07/05,MI
622,21.6,2021/07/05,MN
623,30.0,2021/07/05,MO
624,33.0,2021/07/05,MS
625,26.9,2021/07/05,MT
626,31.2,2021/07/05,NC
627,27.1,2021/07/05,ND
628,25.5,2021/07/05,NE
629,29.9,2021/07/05,NH
630,21.9,2021/07/05,NJ
631,36.6,2021/07/05,NM
632,35.6,2021/07/05,NV
633,26.7,2021/07/05,NY
634,31.2,2021/07/05,OH
635,37.5,2021/07/05,OK
636,36.0,2021/07/05,OR
637,25.8,2021/07/05,PA
638,26.2,2021/07/05,RI
639,32.0,2021/07/05,SC
640,25.2,2021/07/05,SD
641,29.8,2021/07/05,TN
642,31.6,2021/07/05,TX
